wavelength (microns),Sapphire Window_130 Transmission
3.34716,88.0205
3.34933,88.0175
3.35149,87.9865
3.35366,87.9445
3.35583,87.9225
3.358,87.9275
3.36018,87.935
3.36236,87.937
3.36454,87.9475
3.36672,87.9565
3.36891,87.951
3.3711,87.9355
3.3733,87.917
3.37549,87.909
3.37769,87.921
3.37989,87.941
3.3821,87.9475
3.38431,87.9335
3.38652,87.917
3.38873,87.917
3.39095,87.915
3.39316,87.895
3.39539,87.8825
3.39761,87.899
3.39984,87.935
3.40207,87.9615
3.4043,87.9645
3.40654,87.9535
3.40878,87.931
3.41102,87.8945
3.41327,87.8695
3.41552,87.8815
3.41777,87.9045
3.42002,87.9095
3.42228,87.8975
3.42454,87.87
3.4268,87.837
3.42907,87.816
3.43134,87.819
3.43361,87.8445
3.43589,87.8875
3.43817,87.9315
3.44045,87.9565
3.44273,87.963
3.44502,87.9705
3.44731,87.981
3.4496,87.9755
3.4519,87.9585
3.4542,87.959
3.4565,87.9805
3.45881,88.0015
3.46112,88.011
3.46343,88.0145
3.46575,88.0145
3.46806,88.014
3.47039,88.0135
3.47271,88.0095
3.47504,87.993
3.47737,87.9565
3.4797,87.925
3.48204,87.9315
3.48438,87.9635
3.48672,87.981
3.48907,87.982
3.49142,87.977
3.49377,87.9625
3.49613,87.9445
3.49849,87.943
3.50085,87.9545
3.50321,87.962
3.50558,87.9605
3.50795,87.949
3.51033,87.938
3.51271,87.95
3.51509,87.9805
3.51747,87.994
3.51986,87.9745
3.52225,87.951
3.52465,87.956
3.52704,87.98
3.52945,88.0045
3.53185,88.027
3.53426,88.044
3.53667,88.0505
3.53908,88.048
3.5415,88.045
3.54392,88.046
3.54634,88.0505
3.54877,88.056
3.5512,88.059
3.55364,88.054
3.55607,88.037
3.55851,88.025
3.56096,88.0345
3.56341,88.0535
3.56586,88.0625
3.56831,88.056
3.57077,88.035
3.57323,88.0155
3.57569,88.0165
3.57816,88.0285
3.58063,88.0265
3.58311,88.013
3.58558,88.0125
3.58807,88.035
3.59055,88.0585
3.59304,88.066
3.59553,88.0665
3.59803,88.063
3.60052,88.046
3.60303,88.0245
3.60553,88.0235
3.60804,88.043
3.61055,88.059
3.61307,88.0645
3.61559,88.0645
3.61811,88.0645
3.62064,88.0625
3.62317,88.058
3.6257,88.0515
3.62824,88.0495
3.63078,88.0495
3.63333,88.039
3.63587,88.0175
3.63843,88.0055
3.64098,88.0155
3.64354,88.035
3.6461,88.046
3.64867,88.045
3.65124,88.0365
3.65381,88.031
3.65639,88.035
3.65897,88.0405
3.66155,88.038
3.66414,88.0225
3.66673,87.9965
3.66932,87.983
3.67192,87.99
3.67453,88.0035
3.67713,88.0135
3.67974,88.0165
3.68235,88.0155
3.68497,88.0125
3.68759,88.0065
3.69022,88.0005
3.69285,87.9985
3.69548,87.9975
3.69811,87.994
3.70075,87.9895
3.7034,87.9825
3.70604,87.977
3.7087,87.9755
3.71135,87.9735
3.71401,87.9685
3.71667,87.9615
3.71934,87.9565
3.72201,87.9515
3.72468,87.9415
3.72736,87.922
3.73004,87.8985
3.73273,87.886
3.73541,87.8885
3.73811,87.8955
3.74081,87.8995
3.74351,87.902
3.74621,87.904
3.74892,87.9025
3.75163,87.898
3.75435,87.892
3.75707,87.885
3.75979,87.8765
3.76252,87.8705
3.76525,87.866
3.76799,87.8605
3.77073,87.855
3.77348,87.8485
3.77622,87.841
3.77898,87.8335
3.78173,87.825
3.78449,87.8145
3.78726,87.8
3.79003,87.7865
3.7928,87.7795
3.79558,87.776
3.79836,87.774
3.80114,87.7695
3.80393,87.761
3.80672,87.75
3.80952,87.7435
3.81232,87.7425
3.81513,87.7405
3.81794,87.7335
3.82075,87.725
3.82357,87.716
3.82639,87.7065
3.82921,87.698
3.83204,87.691
3.83488,87.6835
3.83772,87.675
3.84056,87.665
3.84341,87.6555
3.84626,87.6475
3.84911,87.639
3.85197,87.628
3.85484,87.6175
3.85771,87.608
3.86058,87.6005
3.86345,87.5915
3.86634,87.5825
3.86922,87.573
3.87211,87.562
3.875,87.5505
3.8779,87.538
3.88081,87.5245
3.88371,87.5125
3.88662,87.503
3.88954,87.4945
3.89246,87.4835
3.89538,87.472
3.89831,87.4605
3.90125,87.448
6.0,87.448
